title;author;publisher;isbn;barcode;category;year;language;pages;shelf;copies;status;keywords;description
Şeker Portakalı;Jose Mauro De Vasconcelos;Can Yayınları;9789750743108;EBS-KTP-0001;Roman;2020;Türkçe;208;;1;Aktif;;
Simyacı;Paulo Coelho;Can Yayınları;9789750726439;EBS-KTP-0002;Roman;2010;Türkçe;188;;1;Aktif;;
1984;George Orwell;Can Yayınları;9789750718533;EBS-KTP-0003;Roman;2000;Türkçe;352;;1;Aktif;;
Kırmızı Pazartesi;Gabriel Garcia Marquez;Can Yayınları;;EBS-KTP-0004;Roman;0;Türkçe;0;;1;Aktif;;
Kendine Ait Bir Oda;Virginia Woolf;Can Yayınları;;EBS-KTP-0005;Deneme;0;Türkçe;0;;1;Aktif;;
Jane Eyre;Charlotte Bronte;Can Yayınları;;EBS-KTP-0006;Roman;0;Türkçe;0;;1;Aktif;;
Martin Eden;Jack London;Can Yayınları;;EBS-KTP-0007;Roman;0;Türkçe;0;;1;Aktif;;
Prens;Niccolo Machiavelli;Can Yayınları;;EBS-KTP-0008;Felsefe / Siyaset;0;Türkçe;0;;1;Aktif;;
Ermiş’in Aşk Mektupları;Halil Cibran;Can Yayınları;;EBS-KTP-0009;Edebiyat;0;Türkçe;0;;1;Aktif;;
Gurur ve Önyargı;Jane Austen;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0010;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
Bir İdam Mahkûmunun Son Günü;Victor Hugo;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0011;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
Suç ve Ceza;Fyodor Mihayloviç Dostoyevski;Türkiye İş Bankası Kültür Yayınları;;EBS-KTP-0012;Hasan Âli Yücel Klasikleri;0;Türkçe;0;;1;Aktif;;
